No,ID Stasiun,Waktu,PM 10,PM 2.5,SO2,CO,O3,NO2,VOC,Wind Speed,Wind Direction,Humidity,Temperature,Pressure,Solar Radiation,Rain Intensity
109,CILEGON_PCI,2022-09-08 05:00:00,20,23,16,0,46,0,0,0,197,71,25.1,1013.07,0,0
110,CILEGON_PCI,2022-09-07 22:00:00,20,24,20,0,106,0,0,0,208,70,25.8,1014.77,0,0.01
111,CILEGON_PCI,2022-09-08 05:00:00,20,23,16,0,46,0,0,0,197,71,25.1,1013.07,0,0
112,CILEGON_PCI,2022-09-07 22:30:00,16,20,20,0,137,0,0,0,205,70,25.6,1014.6,0,0.01
113,CILEGON_PCI,2022-09-08 04:30:00,32,37,15,0,38,0,0,0,197,71,25.1,1012.9,0,0
114,CILEGON_PCI,2022-09-07 21:30:00,12,16,21,0,48,0,0,0,141,69,26.1,1014.66,0,0.01
115,CILEGON_PCI,2022-09-08 04:30:00,32,37,15,0,38,0,0,0,197,71,25.1,1012.9,0,0
116,CILEGON_PCI,2022-09-07 22:00:00,20,24,20,0,106,0,0,0,208,70,25.8,1014.77,0,0.01
117,CILEGON_PCI,2022-09-08 04:00:00,21,23,15,0,30,0,0,0,196,70,25.2,1012.67,0,0
118,CILEGON_PCI,2022-09-07 21:00:00,73,79,43,0,90,0,0,0,203,69,26.2,1014.02,0,0.01
119,CILEGON_PCI,2022-09-08 04:00:00,21,23,15,0,30,0,0,0,196,70,25.2,1012.67,0,0
120,CILEGON_PCI,2022-09-07 21:30:00,12,16,21,0,48,0,0,0,141,69,26.1,1014.66,0,0.01
121,CILEGON_PCI,2022-09-08 03:30:00,14,16,15,0,12,0,0,0,197,70,25.3,1012.43,0,0
122,CILEGON_PCI,2022-09-07 20:30:00,23,28,90,0,15,0,0,0,200,68,26.4,1013.65,0,0.01
123,CILEGON_PCI,2022-09-08 03:30:00,14,16,15,0,12,0,0,0,197,70,25.3,1012.43,0,0
124,CILEGON_PCI,2022-09-08 01:30:00,35,40,38,0,128,0,0,0,221,69,25.4,1012.7,0,0
125,CILEGON_PCI,2022-09-07 21:00:00,73,79,43,0,90,0,0,0,203,69,26.2,1014.02,0,0.01
126,CILEGON_PCI,2022-09-08 01:30:00,35,40,38,0,128,0,0,0,221,69,25.4,1012.7,0,0
127,CILEGON_PCI,2022-09-07 20:00:00,16,18,103,0,80,0,0,0,201,68,26.5,1013.38,0,0.01
128,CILEGON_PCI,2022-09-08 00:30:00,14,16,14,0,147,0,0,0,199,69,25.4,1013.31,0,0
129,CILEGON_PCI,2022-09-07 20:30:00,23,28,90,0,15,0,0,0,200,68,26.4,1013.65,0,0.01
130,CILEGON_PCI,2022-09-08 00:30:00,14,16,14,0,147,0,0,0,199,69,25.4,1013.31,0,0
131,CILEGON_PCI,2022-09-07 19:30:00,16,18,119,0,73,0,0,0,198,68,26.8,1012.87,0,0.01
132,CILEGON_PCI,2022-09-08 00:00:00,16,20,16,0,146,0,0,0,194,69,25.4,1013.61,0,0
133,CILEGON_PCI,2022-09-07 20:00:00,16,18,103,0,80,0,0,0,201,68,26.5,1013.38,0,0.01
134,CILEGON_PCI,2022-09-08 00:00:00,16,20,16,0,146,0,0,0,194,69,25.4,1013.61,0,0
135,CILEGON_PCI,2022-09-07 19:00:00,18,20,104,0,70,0,0,0,214,68,27,1012.26,0,0.01
136,CILEGON_PCI,2022-09-07 19:30:00,16,18,119,0,73,0,0,0,198,68,26.8,1012.87,0,0.01
137,CILEGON_PCI,2022-09-07 23:30:00,13,16,18,0,145,0,0,0,195,69,25.6,1013.89,0,0
138,CILEGON_PCI,2022-09-07 23:30:00,13,16,18,0,145,0,0,0,195,69,25.6,1013.89,0,0
139,CILEGON_PCI,2022-09-07 18:30:00,19,21,20,0,112,0,0,0,228,68,27.2,1011.58,0,0.01
140,CILEGON_PCI,2022-09-07 19:00:00,18,20,104,0,70,0,0,0,214,68,27,1012.26,0,0.01
141,CILEGON_PCI,2022-09-07 23:00:00,14,16,21,0,144,0,0,0,195,70,25.5,1014.39,0,0.01
142,CILEGON_PCI,2022-09-07 23:00:00,14,16,21,0,144,0,0,0,195,70,25.5,1014.39,0,0.01
143,CILEGON_PCI,2022-09-07 18:30:00,19,21,20,0,112,0,0,0,228,68,27.2,1011.58,0,0.01
144,CILEGON_PCI,2022-09-07 18:00:00,28,31,15,0,112,0,0,0,252,67,27.4,1011.01,0,0.01
145,CILEGON_PCI,2022-09-07 22:30:00,16,20,20,0,137,0,0,0,205,70,25.6,1014.6,0,0.01
146,CILEGON_PCI,2022-09-07 22:30:00,16,20,20,0,137,0,0,0,205,70,25.6,1014.6,0,0.01
147,CILEGON_PCI,2022-09-07 18:00:00,28,31,15,0,112,0,0,0,252,67,27.4,1011.01,0,0.01
148,CILEGON_PCI,2022-09-07 22:00:00,20,24,20,0,106,0,0,0,208,70,25.8,1014.77,0,0.01
149,CILEGON_PCI,2022-09-07 17:30:00,17,19,12,0,114,0,0,0,72,66,27.6,1010.53,16,0.01
150,CILEGON_PCI,2022-09-07 22:00:00,20,24,20,0,106,0,0,0,208,70,25.8,1014.77,0,0.01
151,CILEGON_PCI,2022-09-07 21:30:00,12,16,21,0,48,0,0,0,141,69,26.1,1014.66,0,0.01
152,CILEGON_PCI,2022-09-07 17:30:00,17,19,12,0,114,0,0,0,72,66,27.6,1010.53,16,0.01
153,CILEGON_PCI,2022-09-07 17:00:00,21,25,6,0,116,0,0,0,210,66,27.7,1010.63,25,0.01
154,CILEGON_PCI,2022-09-07 17:00:00,21,25,6,0,116,0,0,0,210,66,27.7,1010.63,25,0.01
155,CILEGON_PCI,2022-09-07 21:00:00,73,79,43,0,90,0,0,0,203,69,26.2,1014.02,0,0.01
156,CILEGON_PCI,2022-09-07 16:30:00,21,24,8,0,79,0,0,0,209,66,27.7,1010.3,58,0.01
157,CILEGON_PCI,2022-09-08 13:30:00,14,15,10,0,0,0,0,0,268,67,27.2,1013.24,114,0.01
158,CILEGON_PCI,2022-09-07 16:30:00,21,24,8,0,79,0,0,0,209,66,27.7,1010.3,58,0.01
159,CILEGON_PCI,2022-09-07 20:30:00,23,28,90,0,15,0,0,0,200,68,26.4,1013.65,0,0.01
160,CILEGON_PCI,2022-09-07 16:00:00,21,24,14,0,67,0,0,0,216,68,27.7,1010.33,79,0.01
161,CILEGON_PCI,2022-09-08 12:30:00,16,21,5,0,40,0,0,0,201,68,27.1,1013.92,141,0.01
162,CILEGON_PCI,2022-09-07 16:00:00,21,24,14,0,67,0,0,0,216,68,27.7,1010.33,79,0.01
163,CILEGON_PCI,2022-09-07 15:30:00,23,27,20,0,67,0,0,0,224,68,27.9,1010.46,67,0.01
164,CILEGON_PCI,2022-09-07 20:00:00,16,18,103,0,80,0,0,0,201,68,26.5,1013.38,0,0.01
165,CILEGON_PCI,2022-09-07 15:30:00,23,27,20,0,67,0,0,0,224,68,27.9,1010.46,67,0.01
166,CILEGON_PCI,2022-09-07 19:30:00,16,18,119,0,73,0,0,0,198,68,26.8,1012.87,0,0.01
167,CILEGON_PCI,2022-09-07 15:00:00,24,27,23,0,72,0,0,0,228,65,28.4,1010.4,49,0.01
168,CILEGON_PCI,2022-09-07 14:30:00,26,29,17,0,85,0,0,0,345,61,29.1,1010.33,47,0.01
169,CILEGON_PCI,2022-09-07 14:00:00,22,24,20,0,86,0,0,0,176,60,30.6,1010.77,367,0.01
170,CILEGON_PCI,2022-09-07 13:30:00,18,20,21,0,90,1,0,0,168,62,29.2,1010.97,376,0.01
171,CILEGON_PCI,2022-09-07 13:00:00,21,24,26,0,92,0,0,0,227,63,28.2,1011.92,656,0.01
172,CILEGON_PCI,2022-09-07 12:30:00,20,24,36,0,63,1,0,0,221,67,28,1011.95,858,0.01
173,CILEGON_PCI,2022-09-07 12:00:00,20,24,35,0,68,6,0,0,198,67,27.1,1012.5,114,0
174,CILEGON_PCI,2022-09-07 11:30:00,34,42,39,0,74,9,0,0,221,60,29.6,1012.84,19,0
175,CILEGON_PCI,2022-09-07 11:00:00,31,37,42,0,74,11,0,0,116,55,31,1012.73,171,0
